Device Identifier;Device Name;Device Manufacturer;Bluetooth Version
i386;iPhone Simulator;Apple;N/A
x86_64;iPhone Simulator;Apple;N/A
iPhone1,1;iPhone;Apple;Bluetooth 2.0 + EDR
iPhone1,2;iPhone 3G;Apple;Bluetooth 2.0 + EDR
iPhone2,1;iPhone 3GS;Apple;Bluetooth 2.1 + EDR
iPhone3,1;iPhone 4;Apple;Bluetooth 2.1 + EDR
iPhone3,2;iPhone 4 GSM Rev A;Apple;Bluetooth 2.1 + EDR
iPhone3,3;iPhone 4 CDMA;Apple;Bluetooth 2.1 + EDR
iPhone4,1;iPhone 4S;Apple;Bluetooth 4.0
iPhone5,1;iPhone 5 (GSM);Apple;Bluetooth 4.0
iPhone5,2;iPhone 5 (GSM+CDMA);Apple;Bluetooth 4.0
iPhone5,3;iPhone 5C (GSM);Apple;Bluetooth 4.0
iPhone5,4;iPhone 5C (Global);Apple;Bluetooth 4.0
iPhone6,1;iPhone 5S (GSM);Apple;Bluetooth 4.0
iPhone6,2;iPhone 5S (Global);Apple;Bluetooth 4.0
iPhone7,1;iPhone 6 Plus;Apple;Bluetooth 4.2
iPhone7,2;iPhone 6;Apple;Bluetooth 4.2
iPhone8,1;iPhone 6s;Apple;Bluetooth 4.2
iPhone8,2;iPhone 6s Plus;Apple;Bluetooth 4.2
iPhone8,3;iPhone SE (GSM+CDMA);Apple;Bluetooth 4.2
iPhone8,4;iPhone SE (GSM);Apple;Bluetooth 4.2
iPhone9,1;iPhone 7;Apple;Bluetooth 4.2
iPhone9,2;iPhone 7 Plus;Apple;Bluetooth 4.2
iPhone9,3;iPhone 7;Apple;Bluetooth 4.2
iPhone9,4;iPhone 7 Plus;Apple;Bluetooth 4.2
iPhone10,1;iPhone 8;Apple;Bluetooth 5.0
iPhone10,2;iPhone 8 Plus;Apple;Bluetooth 5.0
iPhone10,3;iPhone X Global;Apple;Bluetooth 5.0
iPhone10,4;iPhone 8;Apple;Bluetooth 5.0
iPhone10,5;iPhone 8 Plus;Apple;Bluetooth 5.0
iPhone10,6;iPhone X GSM;Apple;Bluetooth 5.0
iPhone11,2;iPhone XS;Apple;Bluetooth 5.0
iPhone11,4;iPhone XS Max;Apple;Bluetooth 5.0
iPhone11,6;iPhone XS Max Global;Apple;Bluetooth 5.0
iPhone11,8;iPhone XR;Apple;Bluetooth 5.0
